isMale	age	job	income	satisfac
FALSE	0.66	mgmt	0.521	low
TRUE	0.35	tech	0.861	medium
FALSE	0.24	tech	0.441	high
TRUE	0.43	sale	0.517	medium
TRUE	0.37	mgmt	0.886	medium
TRUE	0.3	sale	0.879	low
FALSE	0.4	mgmt	0.202	medium
FALSE	0.58	tech	0.265	low
TRUE	0.27	mgmt	0.848	low
FALSE	0.33	sale	0.56	medium
TRUE	0.59	tech	0.233	high
TRUE	0.52	sale	0.87	high
FALSE	0.41	mgmt	0.517	medium
TRUE	0.22	sale	0.35	high
FALSE	0.61	sale	0.298	low
TRUE	0.46	mgmt	0.678	medium
TRUE	0.59	mgmt	0.843	low
FALSE	0.28	tech	0.773	high
TRUE	0.46	sale	0.893	medium
FALSE	0.48	tech	0.292	medium
FALSE	0.28	mgmt	0.669	medium
FALSE	0.23	sale	0.897	high
TRUE	0.6	mgmt	0.627	high
TRUE	0.29	sale	0.776	low
TRUE	0.24	tech	0.875	high
FALSE	0.51	mgmt	0.409	medium
TRUE	0.22	sale	0.891	low
TRUE	0.19	tech	0.538	low
FALSE	0.25	sale	0.9	high
TRUE	0.44	tech	0.898	medium
TRUE	0.35	mgmt	0.538	medium
TRUE	0.29	sale	0.761	low
FALSE	0.25	mgmt	0.345	medium
FALSE	0.66	mgmt	0.221	low
FALSE	0.43	tech	0.745	medium
TRUE	0.42	sale	0.852	medium
TRUE	0.44	mgmt	0.658	medium
FALSE	0.42	sale	0.697	medium
TRUE	0.56	tech	0.368	high
TRUE	0.38	mgmt	0.26	low
